feature_name,dose,pvalue,tstat,fc
M75T435_2,1,0.18208117,1.477998205,1.237884156
M75T78,1,0.822205089,0.229347368,1.039511337
M76T308,1,0.350222758,-0.984031138,0.972818057
M76T443_1,1,0.047578208,2.704425264,1.805026721
M76T74,1,0.22652724,1.405633276,1.406704734
M76T325_1,1,0.042207581,2.451345983,1.442535735
M76T45,1,0.244855993,-1.282639583,0.853749754
M76T325_4,1,0.045070891,2.635947834,1.497653272
M77T276,1,0.584763643,-0.560748116,0.917187266
M77T443_1,1,0.0050388,4.247254264,1.971439693
M77T339,1,0.134304983,-1.611930802,0.788621474
M77T443_2,1,0.012816741,3.789740901,1.501069041
M77T324_1,1,0.049881375,2.456816755,1.332754469
M77T324_3,1,0.031409826,2.847552184,1.501460264
M78T443,1,0.000927,4.875618293,1.771007004
M78T275_2,1,0.257704693,1.199713539,1.308471485
M78T323,1,0.044901479,2.612013088,1.480891512
M78T398,1,0.021131101,-3.312060868,0.790646376
M78T275_3,1,0.135579935,-1.717563716,0.568596464
M78T275_5,1,0.194331186,-1.40031793,0.892274175
M79T233,1,0.760388101,0.312902086,1.085990241
M79T579,1,0.836180457,0.215789086,1.025518677
M79T43,1,0.145930204,-1.670460899,0.697135697
M80T339,1,0.06607233,-2.096697867,0.914478063
M80T231,1,0.409814027,-0.856832775,0.784046738
M81T275,1,0.156063526,-1.66348074,0.826833754
M81T311,1,0.328582809,-1.188832253,0.801241334
M81T579,1,0.877397906,0.158232601,1.011223707
M81T230,1,0.331157031,-1.049464981,0.722481496
M81T273_2,1,0.301367838,-1.087998295,0.836248476
M81T229,1,0.003869481,-3.589231967,0.580750426
M82T229,1,0.002845355,-3.941880997,0.510950646
M82T578,1,0.865066048,0.175968102,1.006371534
M82T230_1,1,0.065960651,2.008802211,1.232159687
M82T222,1,0.363774637,-0.968317827,0.951677239
M82T230_2,1,0.285654914,1.187014965,1.157427113
M82T230_4,1,0.30095611,1.102982399,1.212164896
M82T544,1,0.754665811,0.324146655,1.018738511
M82T501,1,0.680674944,-0.430936825,0.896283552
M82T367,1,0.390059742,0.942261149,1.132391021
M82T519,1,0.526192237,-0.66043818,0.912946805
M83T544_1,1,0.800021512,0.262985892,1.021572632
M83T228_1,1,0.31746193,1.040440555,1.231571953
M83T226,1,0.361699512,1.000841258,1.178244366
M83T544_2,1,0.652908941,0.475617299,1.050435709
M83T74,1,0.695457073,0.43718559,1.164247516
M83T81,1,0.326671992,1.065654771,1.283184968
M84T544_2,1,0.505397598,-0.713573894,0.917466561
M84T434,1,0.690498535,-0.41996229,0.88914826
M84T453,1,0.571659084,-0.590962169,0.954833611
M84T470,1,0.742538279,0.340766676,1.023052474
M84T226_1,1,0.802497058,0.258054117,1.029983817
M84T374,1,0.398056482,-0.875361483,0.866767909
M84T365,1,0.320509768,-1.075924832,0.871235579
M84T408,1,0.32278526,-1.072959879,0.89560506
M84T296,1,0.331108892,-1.033936316,0.722357738
M84T226_2,1,0.256250866,-1.192960162,0.817622059
M84T227_3,1,0.508219348,-0.682433597,0.941238697
M85T226_1,1,0.314474134,-1.059587891,0.87566468
M85T226_2,1,0.253681841,-1.267233798,0.80696454
M85T226_4,1,0.004415965,-3.496944891,0.695499311
M85T333,1,0.265271106,-1.284649425,0.750524131
M85T579,1,0.663612216,-0.4631756,0.916469696
M85T321,1,0.724122137,-0.371516004,0.943489553
M85T362,1,0.543974096,0.637045808,1.091649785
M85T405_2,1,0.32493003,-1.061374186,0.920204777
M85T453,1,0.979285268,-0.027138684,0.997674701
M85T454_2,1,0.513454055,-0.676560084,0.923028819
M85T518,1,0.328184482,-1.035075739,0.946165968
M85T517_2,1,0.113533767,-1.733967289,0.914317699
M85T374,1,0.538825454,-0.658094548,0.861676132
M85T221,1,0.424478759,-0.828846089,0.896252115
M85T219,1,0.003496143,-3.656317102,0.597997538
M86T225_2,1,0.587958491,0.564727515,1.115531351
M86T578,1,0.905503076,-0.121813993,0.99604925
M86T404,1,0.63894271,-0.488689677,0.920421382
M86T427,1,0.94474245,-0.070799031,0.992189144
M86T387,1,0.623435035,0.526877168,1.101944675
M86T547,1,0.035901432,-2.348604031,0.789487368
M86T83_3,1,0.511906031,-0.729872853,0.757754731
M86T156,1,0.80039537,0.26694389,1.025525676
